tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2019-04-28,64,WOLKSWAGEN,S350,2009,71683,4206,630
2019-06-16,6,WOLKSWAGEN,S350,2016,165184,4357,310
2019-01-17,73,FORD,E200,2007,75318,965,1711
2019-03-18,53,TOFAS,SAHIN,2003,176552,4758,1762
2019-07-21,47,VOLVO,A180,2015,78504,5769,250
2019-09-19,15,BMW,E200,2015,41648,5677,1464
2018-03-21,15,TOFAS,SAHIN,2004,124722,2156,1674
2019-12-09,31,MERCEDES,E200,2013,38030,88,341
2018-10-07,73,TESLA,S600,2007,10426,7347,1266
2019-05-17,51,BMW,A180,2011,132684,6856,998
2019-04-05,42,AUDİ,E200,2012,21251,9176,879
2019-03-10,38,VOLVO,E200,2011,46649,1942,824
2018-06-04,48,FORD,A180,2008,149531,5599,688
2018-07-20,6,TESLA,E200,2013,158870,6529,1061
2019-04-23,46,AUDİ,A180,2011,71770,4076,527
2019-11-01,15,AUDİ,S600,2001,186899,5017,590
2018-12-21,72,WOLKSWAGEN,E200,2013,23083,4594,1913
2019-10-02,37,TOFAS,KARTAL,2013,72998,4776,254
2018-10-08,74,FİAT,500L,2008,24484,7454,994
2019-03-20,72,TESLA,S350,2010,37256,4291,919
2019-09-17,69,AUDİ,E200,2012,8726,1012,1037
2019-06-19,70,FİAT,500L,2009,185961,2562,1201
2018-11-05,71,MERCEDES,S600,2017,71968,7981,1679
2019-01-04,23,VOLVO,E200,2016,35404,8454,1434
2019-12-03,45,MERCEDES,S350,2016,138445,4784,701
2018-08-02,74,FİAT,500,2011,187507,7684,1152
2018-11-15,34,BMW,A180,2014,32353,8456,1342
2019-10-04,27,MERCEDES,S600,2017,71131,6613,1671
2018-08-19,74,BMW,S600,2012,158493,7596,783
2019-05-16,70,MERCEDES,E200,2016,134244,3811,369
2018-01-31,2,SAAB,E200,2017,27695,9020,539
2018-06-22,23,FİAT,500,2005,68717,3451,1695
2018-02-20,58,VOLVO,E200,2006,197425,89,736
2018-03-07,47,WOLKSWAGEN,S600,2008,150670,3796,1608
2018-10-11,2,TOFAS,DOGAN,2008,28566,3822,375
2019-02-04,4,BMW,A180,2002,78532,5442,457
2018-07-01,4,MERCEDES,S350,2015,112605,2526,1018
2019-06-17,68,SAAB,S350,2008,73541,496,1774
2018-08-25,25,SAAB,E200,2008,67722,8635,737
2018-04-20,47,MERCEDES,E200,2001,91093,8587,654
2018-04-05,16,FİAT,500L,2010,91211,3395,1888
2018-11-21,23,TOFAS,KARTAL,2011,195667,9201,1260
2018-11-07,69,TESLA,E200,2014,171826,4030,517
2018-04-01,7,VOLVO,A180,2003,79143,8516,1001
2019-11-29,63,MERCEDES,S600,2011,80674,8531,828
2019-02-16,12,MERCEDES,S350,2006,193349,3707,1823
2019-12-19,34,FORD,S600,2004,33275,3940,1643
2018-07-30,43,BMW,S600,2012,184510,2973,1002
2019-02-10,41,TESLA,A180,2000,147963,4824,673
2018-06-20,16,FORD,S350,2000,37039,4114,1820
2018-07-24,73,MERCEDES,E200,2006,107661,1905,1001
2018-10-16,21,WOLKSWAGEN,S350,2008,67917,7462,1230
2019-06-28,22,MERCEDES,S350,2014,3645,2770,582
2019-07-22,72,BMW,S600,2017,192495,1553,964
2018-05-27,2,FORD,E200,2014,5691,6119,1299
2019-09-20,35,MERCEDES,S600,2000,94118,6894,945
2019-04-08,27,SAAB,S600,2011,50943,6036,1850
2018-01-06,63,MERCEDES,A180,2001,89965,5624,1647
2018-07-08,14,VOLVO,S600,2013,121571,7609,1919
2019-04-14,57,AUDİ,S600,2007,96277,83,1398
2018-12-09,50,FİAT,500,2011,105438,8577,881
2019-07-31,75,SAAB,S600,2011,4327,9331,845
2018-05-15,71,VOLVO,E200,2017,3118,6840,1154
2019-06-02,31,AUDİ,S350,2017,71994,2690,1519
2019-10-14,74,VOLVO,S350,2002,99426,531,1883
2019-05-14,62,BMW,E200,2005,101321,5032,499
2018-07-04,49,FİAT,500,2004,16661,1126,1805
2019-06-30,26,FORD,E200,2016,93807,4029,308
2018-10-22,71,MERCEDES,S600,2010,66649,9647,1762
2018-03-27,73,MERCEDES,S350,2015,19139,3491,1957
2018-05-17,45,SAAB,S350,2001,181980,2894,625
2018-02-08,40,VOLVO,E200,2011,199087,7700,1910
2018-02-04,32,FORD,A180,2001,102939,434,1224
2018-04-04,65,FİAT,500,2012,138098,4808,707
2018-05-11,35,SAAB,S350,2007,51151,540,587
2018-10-09,34,VOLVO,S600,2013,9276,6100,1792
2018-09-27,31,AUDİ,A180,2017,100240,581,888
2018-09-13,27,FİAT,500,2004,118210,4811,1246
2019-04-06,60,SAAB,S600,2007,83239,2608,523
2018-09-16,27,SAAB,A180,2006,160659,9377,1938
2018-06-14,54,SAAB,A180,2010,36935,7150,1610
2018-08-27,2,TOFAS,DOGAN,2012,91352,271,743
2018-03-16,3,BMW,E200,2012,194563,515,1052
2019-05-19,11,AUDİ,A180,2015,70612,1292,575
2019-07-05,18,WOLKSWAGEN,S600,2014,140453,4135,1629
2018-04-11,7,MERCEDES,E200,2000,167548,5359,1425
2019-11-14,55,FİAT,EGEA,2000,123757,8879,1845
2018-02-14,41,FİAT,DOBLO,2010,139085,2141,1227
2018-06-12,25,VOLVO,S350,2006,82940,7394,593
2018-05-13,24,FORD,S350,2011,197068,615,1134
2018-05-05,76,TESLA,S350,2004,33531,1401,1921
2019-06-29,48,MERCEDES,S600,2011,24517,1108,1677
2018-11-30,62,TOFAS,SAHIN,2014,152698,4598,265
2019-09-04,54,BMW,S350,2008,31119,8723,770
2019-09-11,28,SAAB,E200,2005,80565,545,1067
2018-11-20,14,WOLKSWAGEN,S600,2017,1333,835,540
2018-01-06,3,VOLVO,E200,2010,156748,3034,530
2018-07-31,46,AUDİ,E200,2000,125308,6976,934
2019-10-25,55,SAAB,S350,2007,137592,1402,1159
2019-04-22,13,WOLKSWAGEN,A180,2002,78413,7577,394
2018-07-11,61,MERCEDES,A180,2002,79010,5183,874
2018-08-08,75,FORD,S350,2006,38960,3270,1511
2019-07-26,47,VOLVO,E200,2013,22065,4738,1247
2018-03-23,16,WOLKSWAGEN,S600,2001,48784,5993,917
2019-07-26,80,BMW,A180,2000,3928,9499,377
2018-05-09,77,SAAB,S600,2002,192937,9352,1107
2019-09-10,43,VOLVO,A180,2007,73849,4143,1420
2018-09-30,26,TOFAS,DOGAN,2015,135926,3611,373
2019-06-25,19,TOFAS,SAHIN,2016,84326,7648,1774
2019-07-04,26,WOLKSWAGEN,E200,2007,32409,3608,1389
2018-08-12,9,AUDİ,E200,2016,130895,3811,1100
2018-11-23,28,SAAB,A180,2016,173408,5479,1074
2019-05-23,6,TESLA,S600,2014,168647,7349,670
2018-05-16,55,MERCEDES,A180,2009,188474,1164,1453
2018-09-30,27,TESLA,S350,2013,22580,6625,1403
2019-09-12,26,FORD,S350,2007,29848,6730,952
2019-12-23,68,FORD,E200,2013,84083,2996,1247
2018-04-30,70,FORD,A180,2008,136612,2982,814
2018-04-18,8,FORD,E200,2008,31695,7189,273
2019-06-11,71,MERCEDES,S350,2000,189106,6025,924
2019-02-23,48,FİAT,EGEA,2003,130178,743,1287
2018-10-17,14,MERCEDES,S350,2003,40723,134,1293
2019-07-06,70,VOLVO,S350,2011,59467,1440,521
2019-04-19,20,AUDİ,S350,2000,39907,1793,1180
2019-04-28,64,VOLVO,E200,2016,132666,5332,1858
2019-08-11,81,TESLA,S350,2011,109500,8456,695
2018-02-07,80,VOLVO,S600,2002,154569,6689,1395
2018-11-06,17,MERCEDES,S350,2016,48779,9095,307
2019-08-21,80,TOFAS,KARTAL,2001,29289,5973,1034
2019-10-14,72,BMW,S350,2005,23462,2771,500
2019-03-14,1,AUDİ,S600,2008,81890,6179,636
2018-07-27,23,MERCEDES,A180,2014,26768,5658,1882
2019-11-16,52,BMW,S350,2005,145502,8173,880
2019-11-28,64,WOLKSWAGEN,S350,2002,185356,973,1787
2018-01-19,58,FİAT,500,2000,60555,233,1041
2018-05-21,81,TESLA,S350,2010,45696,3405,281
2019-06-10,12,FORD,E200,2011,151183,8147,1714
2019-04-24,10,WOLKSWAGEN,E200,2004,36755,3929,654
2018-05-17,65,FORD,A180,2003,71346,249,1736
2018-07-10,75,VOLVO,S350,2003,17838,59,1692
2018-02-25,19,TESLA,S600,2007,123316,9043,1488
2019-12-05,30,FORD,S350,2000,147099,982,340
2018-12-24,49,TESLA,S600,2007,162340,1814,1534
2018-11-15,57,BMW,A180,2007,87891,9533,884
2018-11-17,35,TESLA,A180,2000,25860,3378,1062
2018-08-31,18,BMW,S350,2007,65668,7642,1753
2018-11-18,59,BMW,E200,2016,188827,1287,912
2019-08-03,11,WOLKSWAGEN,E200,2011,144035,2543,1430
2019-11-09,33,TOFAS,SAHIN,2006,160041,3556,906
2019-06-21,33,FORD,A180,2009,55947,6713,1429
2018-06-13,62,TOFAS,KARTAL,2003,92363,5809,322
2018-02-20,46,FİAT,500,2012,46940,7985,1517
2018-05-07,61,TESLA,S600,2006,51374,6823,1416
2018-01-30,52,TESLA,S350,2008,154884,7302,618
2018-08-09,24,FİAT,500L,2000,176603,5048,1291
2019-08-10,31,AUDİ,A180,2015,54509,8111,756
2018-10-18,35,FORD,S600,2011,55330,3605,705
2019-04-12,5,TOFAS,SAHIN,2005,120487,2563,1677
2018-08-05,36,AUDİ,S600,2014,190462,1057,1823
2019-12-22,63,VOLVO,S350,2015,1327,3613,1831
2018-05-26,55,FİAT,500L,2012,141739,5975,1805
2018-06-05,51,FORD,S600,2017,64989,6138,1019
2019-07-08,42,WOLKSWAGEN,A180,2011,114172,5873,1382
2019-04-04,31,FORD,A180,2013,54317,9642,1827
2018-03-30,3,AUDİ,E200,2005,33371,113,1621
2018-11-29,73,TOFAS,SAHIN,2015,186176,1441,380
2019-08-01,38,WOLKSWAGEN,A180,2004,9077,8647,1024
2019-01-29,25,VOLVO,E200,2009,170953,7571,1718
2018-06-19,23,TOFAS,DOGAN,2006,44630,1799,1265
2018-05-04,49,MERCEDES,E200,2013,116537,9509,1988
2019-01-01,61,BMW,S350,2008,43318,5707,1804
2018-06-23,24,TOFAS,DOGAN,2005,194860,7349,1320
2018-05-08,43,TOFAS,KARTAL,2005,123831,4627,1536
2020-01-01,65,TOFAS,SAHIN,2015,136304,6524,1857
2018-01-24,68,TOFAS,SAHIN,2006,25530,5500,502
2018-03-06,58,BMW,S600,2011,170463,4288,1354
2018-10-03,30,FİAT,500L,2009,88262,9157,570
2018-11-11,17,WOLKSWAGEN,A180,2011,22842,1531,859
2019-08-31,53,BMW,A180,2011,36265,3495,1496
2018-04-29,28,FİAT,500,2012,137126,1787,775
2018-10-17,65,FİAT,500L,2014,5825,2811,1593
2018-04-29,49,FORD,S350,2009,135243,6777,1075
2018-07-15,59,TESLA,S350,2016,20451,6811,557
2018-05-10,10,AUDİ,S350,2014,41223,5409,895
2019-10-04,63,FİAT,EGEA,2013,193937,7644,923
2019-10-28,46,TESLA,S600,2006,164502,6630,1679
2018-07-26,38,AUDİ,E200,2015,121949,5009,1018
2019-07-25,74,TOFAS,SAHIN,2005,78125,1167,951
2018-05-29,65,SAAB,S600,2015,152349,4558,982
2019-06-07,32,SAAB,E200,2003,47500,5733,1615
2019-09-15,73,TESLA,S600,2012,75595,9944,1355
2019-12-23,46,TOFAS,SAHIN,2004,50295,8605,811
2019-06-23,78,FİAT,500L,2005,86658,7393,1589
2018-03-05,15,BMW,E200,2009,31808,389,1101
2018-11-06,62,VOLVO,E200,2012,44173,4742,1141
2018-03-12,75,BMW,E200,2011,39324,7480,1152
2019-02-23,73,TOFAS,KARTAL,2013,90678,3010,567
2019-03-28,49,BMW,A180,2008,113673,6165,1810
2019-03-31,70,WOLKSWAGEN,E200,2008,36806,3121,1583
2018-01-05,33,FİAT,DOBLO,2017,95270,2239,1762
2018-02-16,45,SAAB,A180,2005,186273,2714,1580
2018-05-01,75,TOFAS,SAHIN,2015,47550,6233,850
2018-08-24,52,FİAT,500L,2011,192346,5962,900
2019-12-12,4,TOFAS,SAHIN,2011,131665,3293,1504
2018-10-12,77,FORD,E200,2008,128533,1631,1471
2018-11-08,24,VOLVO,E200,2012,142362,5994,1017
2018-01-30,22,WOLKSWAGEN,S350,2006,116339,5118,1123
2018-12-02,69,TESLA,A180,2005,4752,5996,519
2018-07-07,30,TOFAS,KARTAL,2013,185285,8786,766
2018-07-23,37,WOLKSWAGEN,S350,2003,143992,8416,419
2018-07-14,77,SAAB,S600,2009,183201,8109,1349
2019-11-28,32,FORD,E200,2017,198019,759,931
2018-04-26,22,MERCEDES,S600,2012,34212,1198,253
2019-03-02,25,TOFAS,DOGAN,2008,30384,5877,991
2018-03-10,47,BMW,A180,2003,92630,6067,607
2019-06-14,47,VOLVO,E200,2003,175650,8934,1673
2018-02-23,22,TOFAS,SAHIN,2017,124372,8373,1178
2018-11-20,49,TOFAS,SAHIN,2000,43235,5420,396
2018-02-17,74,TOFAS,DOGAN,2011,36417,7433,1019
2018-02-18,6,TESLA,E200,2007,93332,6723,1622
2018-02-11,14,VOLVO,S600,2013,48093,7972,1824
2019-12-31,9,VOLVO,S600,2012,29608,9983,1287
2019-10-20,48,FORD,A180,2012,62695,3458,420
2018-04-14,32,TESLA,S600,2009,114796,989,941
2018-08-02,59,TESLA,S600,2013,187583,3727,1174
2018-10-27,60,VOLVO,E200,2010,149074,8417,429
2018-06-18,26,SAAB,S350,2016,50817,4010,832
2019-02-23,65,AUDİ,S350,2006,79175,2309,257
2018-10-29,9,TOFAS,SAHIN,2005,116028,2180,1924
2018-10-09,63,FİAT,500L,2017,189612,8244,823
2019-03-21,21,BMW,A180,2017,78851,4266,543
2018-02-23,18,TOFAS,SAHIN,2005,195663,168,644
2018-01-25,2,TOFAS,KARTAL,2017,151693,8521,418
2018-03-16,15,AUDİ,A180,2014,53334,7259,973
2018-02-08,39,TESLA,A180,2001,93041,7352,1844
2019-05-21,51,WOLKSWAGEN,S350,2010,40745,2072,1992
2019-05-14,18,WOLKSWAGEN,S350,2009,148862,4304,489
2018-02-05,62,FİAT,500,2006,147446,2556,829
2018-03-08,63,BMW,S600,2001,7854,558,400
2019-08-10,8,FİAT,500L,2001,100703,1107,402
2019-07-19,47,WOLKSWAGEN,S350,2013,39078,8707,804
2018-02-27,35,AUDİ,A180,2017,58543,3487,1050
2019-08-20,18,FORD,E200,2003,105224,9254,850
2018-11-19,31,TOFAS,KARTAL,2000,84531,7616,834
2019-07-16,24,SAAB,A180,2010,30482,4149,1741
2019-03-31,39,MERCEDES,E200,2005,82465,306,465
2019-06-11,58,BMW,E200,2012,120671,8563,1374
2019-02-15,25,FİAT,EGEA,2002,36641,3635,477
2018-03-16,8,FORD,E200,2013,48294,4282,265
2018-02-13,20,FORD,S600,2003,140116,2276,1076
2019-04-13,67,BMW,S350,2002,44773,632,1462
2019-07-26,75,FORD,E200,2009,108472,8609,1208
2019-01-07,1,WOLKSWAGEN,A180,2013,2525,1731,1690
2018-08-25,9,FİAT,DOBLO,2013,106907,2006,1791
2019-12-31,52,TOFAS,SAHIN,2009,57525,2014,465
2018-03-29,18,AUDİ,A180,2009,83425,2347,428
2019-03-01,60,TOFAS,KARTAL,2005,148513,4222,1503
2019-08-29,24,SAAB,A180,2007,153873,1751,887
2019-09-01,8,FORD,S350,2000,80228,6440,1203
2018-08-27,51,FORD,E200,2008,147310,65,1754
2018-08-10,56,TESLA,S600,2015,5274,1833,1171
2018-11-18,16,MERCEDES,E200,2016,95874,575,1319
2018-06-29,59,VOLVO,A180,2005,62372,819,644
2019-09-21,28,SAAB,E200,2013,22875,7890,1515
2018-10-16,54,FORD,S350,2012,178156,901,1272
2019-01-03,52,VOLVO,E200,2006,151945,3971,1774
2019-06-16,39,MERCEDES,E200,2013,136691,3657,512
2019-06-14,30,VOLVO,A180,2004,152337,9496,522
2018-05-28,47,FİAT,DOBLO,2007,173319,5538,1386
2019-07-04,11,WOLKSWAGEN,E200,2017,96660,6371,299
2019-12-04,43,FİAT,EGEA,2007,198866,6656,1263
2019-05-10,60,TOFAS,SAHIN,2000,145024,3900,563
2019-11-30,47,SAAB,A180,2013,118811,1780,1223
2019-07-16,69,TESLA,S600,2002,94601,3648,639
2019-11-25,79,FİAT,500,2007,181634,3958,1014
2018-02-15,39,BMW,S600,2015,173582,815,1025
2019-12-27,37,BMW,S350,2011,130683,1461,1124
2019-01-07,30,TOFAS,DOGAN,2012,143797,5442,916
2019-03-13,46,WOLKSWAGEN,S600,2017,191103,1998,628
2018-08-20,71,AUDİ,E200,2010,190471,7010,833
2018-09-06,2,AUDİ,S600,2010,129441,7889,1262
2019-05-18,46,AUDİ,S600,2009,12613,7206,285
2019-01-22,54,TOFAS,SAHIN,2017,55950,6653,986
2018-09-23,81,TOFAS,SAHIN,2003,109311,760,1288
2018-03-13,51,MERCEDES,S350,2015,16443,8432,1852
2019-05-17,27,FORD,A180,2004,121463,1095,1674
2018-05-24,31,VOLVO,S350,2006,141113,5913,1165
2019-11-27,55,WOLKSWAGEN,S600,2015,124468,7196,963
2019-11-01,6,BMW,S600,2002,31606,7345,1095
2019-06-15,5,BMW,S600,2000,117905,3257,465
2019-11-20,39,FORD,A180,2005,194609,4590,1106
2018-12-21,26,SAAB,S600,2007,93154,2366,779
2018-04-26,51,SAAB,E200,2009,160848,1416,1047
2018-02-02,62,AUDİ,E200,2006,159449,3019,1535
2019-10-10,51,FİAT,500,2005,147677,9461,1157
2018-01-22,63,FORD,E200,2002,127286,1112,1830
2019-06-30,77,BMW,A180,2010,194734,5627,584
2019-03-02,72,WOLKSWAGEN,E200,2012,16688,6094,419
2019-01-05,38,AUDİ,S350,2008,22728,8045,1449
2018-07-15,78,AUDİ,A180,2002,196233,5039,1286
2019-12-23,58,AUDİ,A180,2013,172037,8429,807
2018-01-03,4,BMW,S600,2007,23345,8487,1537
2018-03-01,69,FİAT,500L,2011,151569,7845,862
2019-04-26,68,WOLKSWAGEN,S600,2010,140728,5084,825
2018-02-19,38,FİAT,DOBLO,2010,92552,9492,1680
2018-02-24,79,MERCEDES,S600,2001,86972,4059,1180
2018-05-20,47,FİAT,EGEA,2017,187445,5371,1239
2019-07-25,76,FORD,S600,2012,148638,812,1918
2018-05-08,26,SAAB,S600,2003,153809,3517,591
2019-05-13,36,VOLVO,S350,2000,121775,7026,1536
2019-01-25,49,FİAT,500L,2001,111705,2335,1358
2019-05-27,65,TESLA,A180,2001,183477,693,260
2019-12-03,45,WOLKSWAGEN,A180,2017,94284,7565,676
2019-10-29,16,TESLA,S600,2006,8429,7765,1248
2018-02-28,59,MERCEDES,S600,2006,46052,3621,1957
2019-12-19,23,FORD,A180,2012,181869,5019,1619
2018-05-29,57,FİAT,DOBLO,2003,89662,4816,728
2019-12-13,78,WOLKSWAGEN,S600,2013,8375,5086,1698
2019-07-15,3,TOFAS,DOGAN,2002,107848,3955,1958
2019-11-28,71,VOLVO,S350,2012,26660,1627,1145
2019-03-21,48,FİAT,EGEA,2011,9550,9111,776
2019-04-20,7,TESLA,E200,2010,191604,4584,1288
2018-09-04,4,BMW,S350,2015,25761,7295,1430
2019-03-26,2,TESLA,S600,2013,126651,6153,312
2019-03-08,42,TOFAS,SAHIN,2014,98053,7829,1375
2018-07-05,73,WOLKSWAGEN,S600,2008,34890,5254,897
2019-04-07,49,BMW,S600,2003,7363,3438,810
2019-12-21,77,FORD,A180,2014,11022,8248,1821
2019-11-15,54,WOLKSWAGEN,S350,2013,171729,4141,572
2019-06-28,62,MERCEDES,S350,2013,120143,3678,1283
2019-03-10,24,TESLA,E200,2009,12299,5935,1535
2019-07-31,69,WOLKSWAGEN,E200,2006,198693,5018,1685
2019-04-09,42,SAAB,S600,2015,73321,1884,1728
2019-05-06,66,MERCEDES,S350,2014,145088,9957,1918
2018-02-20,12,FORD,S600,2004,197741,5282,759
2018-11-07,48,FİAT,DOBLO,2009,61515,3041,1986
2019-09-10,35,AUDİ,S350,2012,32394,7304,400
2018-07-27,13,VOLVO,S600,2005,47073,417,804
2018-06-16,47,TESLA,A180,2014,110235,2937,1172
2019-04-30,30,FORD,S350,2009,54548,8220,628
2019-07-19,41,MERCEDES,A180,2012,53228,1377,1765
2019-11-20,46,FORD,E200,2008,132890,712,948
2019-08-27,44,FİAT,EGEA,2005,116323,3041,776
2019-08-12,15,TESLA,E200,2011,103394,2256,1654
2018-06-01,16,SAAB,S600,2003,139589,8002,1658
2018-12-06,48,FİAT,EGEA,2012,56709,6566,1911
2018-01-19,65,TOFAS,DOGAN,2016,195408,8371,1580
2019-03-06,79,TOFAS,SAHIN,2001,18880,7440,1694
2018-11-21,17,TESLA,E200,2000,118976,9455,1857
2018-07-01,78,SAAB,A180,2010,94405,73,314
2019-10-28,19,FORD,S600,2008,90978,1549,1751
2019-08-10,57,TOFAS,SAHIN,2000,138193,7575,1138
2018-11-07,17,TOFAS,SAHIN,2013,165392,1240,965
2019-06-20,41,SAAB,E200,2001,139758,1062,641
2018-08-25,68,VOLVO,A180,2002,14782,9358,838
2018-07-28,9,TOFAS,SAHIN,2012,100952,6939,585
2018-06-03,52,BMW,S350,2013,83521,6130,1802
2019-08-24,70,TOFAS,KARTAL,2000,22852,8116,428
2019-02-12,50,TOFAS,KARTAL,2017,95913,8956,1417
2018-06-14,68,AUDİ,S600,2017,58055,1837,622
2019-08-28,74,WOLKSWAGEN,S350,2001,33143,7661,724
2018-01-05,63,BMW,S350,2011,194313,2269,959
2018-12-22,1,FİAT,500,2017,32094,4337,565
2019-02-07,22,FORD,E200,2002,143009,4430,1568
2019-06-12,38,VOLVO,E200,2003,130809,7133,1821
2019-09-25,41,FİAT,EGEA,2011,35663,7474,1234
2018-01-03,69,TESLA,A180,2005,19913,4659,1046
2019-09-12,57,SAAB,A180,2015,127935,9544,1347
2019-04-20,35,MERCEDES,A180,2005,7562,952,691
2018-10-26,15,TESLA,S600,2015,183526,976,1495
2018-09-09,13,WOLKSWAGEN,S350,2001,185905,8147,874
2018-01-20,13,FORD,A180,2006,136400,3390,1674
2019-12-31,32,FİAT,500L,2006,44627,4781,1183
2018-04-03,76,FORD,A180,2015,13333,3924,1046
2019-06-28,36,SAAB,S350,2014,126708,2694,439
2018-09-23,71,WOLKSWAGEN,E200,2002,30257,2104,1155
2018-12-15,71,AUDİ,E200,2004,146643,7251,1595
2018-08-11,55,BMW,A180,2006,36679,6748,510
2018-01-10,12,FİAT,500L,2000,171206,2759,1418
2019-03-12,77,VOLVO,A180,2007,108251,4963,1314
2019-11-18,14,VOLVO,S350,2003,56847,1679,1371
2019-10-24,4,AUDİ,S600,2009,103732,6932,919
2019-05-29,53,FİAT,500L,2003,199388,1511,1444
2018-03-08,17,BMW,E200,2015,177988,7397,520
2018-08-08,14,VOLVO,E200,2003,147173,3087,1884
2018-01-06,20,AUDİ,S350,2001,169433,1886,443
2018-03-08,27,TESLA,A180,2005,50505,5218,1026
2018-03-18,74,FİAT,500,2006,131932,7146,1969
2018-03-10,45,VOLVO,S350,2001,5232,8164,592
2018-02-27,80,FİAT,500L,2003,87847,421,635
2019-09-07,80,BMW,A180,2008,67355,8509,1572
2018-12-11,70,SAAB,A180,2004,190219,8415,600
2018-01-24,70,FORD,E200,2013,180571,9606,1093
2019-01-31,23,WOLKSWAGEN,S600,2011,106418,399,1405
2018-08-27,74,FORD,S350,2009,195331,7992,462
2018-01-21,6,FİAT,DOBLO,2012,1542,2734,1650
2018-06-07,8,TESLA,S600,2008,142975,9468,1040
2019-01-18,18,TOFAS,KARTAL,2003,6417,8799,277
2019-01-17,61,FİAT,EGEA,2001,64574,4080,1614
2019-06-29,35,FİAT,500L,2006,103336,8464,1952
2019-05-17,70,BMW,A180,2007,62707,3709,605
2018-07-27,78,WOLKSWAGEN,S350,2008,118308,6202,718
2018-10-22,25,MERCEDES,S600,2007,55071,7990,1430
2018-05-27,60,TESLA,S600,2009,123174,6714,1459
2019-01-16,69,BMW,E200,2016,4641,3829,366
2019-09-24,37,AUDİ,S600,2005,2079,6688,1117
2018-02-03,20,SAAB,S350,2006,113538,8373,1042
2019-03-15,6,MERCEDES,S350,2000,186770,8852,1955
2019-11-22,63,MERCEDES,A180,2005,169014,6761,1664
2018-07-07,78,FORD,E200,2010,189195,4660,606
2019-11-21,79,FİAT,DOBLO,2006,46148,9823,428
2018-07-03,13,AUDİ,A180,2015,167510,2878,1043
2019-08-06,24,FİAT,DOBLO,2013,85677,3753,940
2019-04-23,20,MERCEDES,A180,2005,55136,9220,1849
2018-09-09,21,FORD,E200,2008,163629,4913,1381
2018-07-28,45,WOLKSWAGEN,E200,2004,152151,4054,1451
2018-04-01,63,TESLA,S600,2008,98526,8058,1641
2018-03-22,55,TOFAS,KARTAL,2011,131611,5475,1699
2018-12-05,13,WOLKSWAGEN,S350,2000,49763,6647,1055
2019-08-25,74,FORD,S600,2000,95787,7664,833
2018-06-13,57,BMW,A180,2013,101913,8346,1792
2019-06-29,28,TOFAS,DOGAN,2016,28119,585,527
2018-06-06,61,AUDİ,S350,2011,122490,6005,761
2018-12-17,76,BMW,S350,2017,43335,1139,1737
2018-06-07,81,BMW,A180,2013,97800,4141,1950
2019-12-08,73,BMW,E200,2006,116112,8026,1117
2019-03-10,5,TESLA,S350,2001,158403,8928,484
2018-09-28,8,TESLA,S600,2009,172930,2846,531
2019-12-05,76,TESLA,A180,2006,118527,8311,894
2019-09-27,20,VOLVO,S350,2013,12470,82,917
2019-05-24,7,FİAT,500,2016,182661,3176,1112
2018-01-26,5,SAAB,S350,2000,52330,9065,775
2018-01-24,61,TOFAS,SAHIN,2004,153861,4731,957
2019-08-08,11,WOLKSWAGEN,E200,2004,122236,7395,914
2019-01-08,50,MERCEDES,S600,2007,7966,9019,1451
2019-12-07,2,FORD,A180,2005,74692,1095,1971
2019-05-13,63,MERCEDES,S600,2015,131179,4242,877
2018-09-02,16,TOFAS,KARTAL,2013,112652,4476,1790
2018-04-05,72,FORD,A180,2013,104970,5007,1054
2018-09-13,29,FİAT,DOBLO,2002,35706,7862,1419
2018-12-03,45,TESLA,S600,2015,43847,4678,251
2018-01-07,59,SAAB,A180,2012,144492,6248,845
2019-04-23,48,TOFAS,DOGAN,2017,105035,1538,709
2018-01-02,51,BMW,A180,2016,145085,5875,1384
2019-06-07,20,AUDİ,S350,2013,147379,6097,323
2018-03-19,3,FİAT,DOBLO,2016,133578,4450,351
2018-06-16,66,WOLKSWAGEN,E200,2009,114239,1004,363
2018-01-12,59,MERCEDES,A180,2006,164927,7837,602
2019-03-11,50,WOLKSWAGEN,S600,2009,106662,9358,1681
2019-09-07,67,TOFAS,DOGAN,2012,22414,8697,1238
2019-02-19,80,TOFAS,SAHIN,2014,177599,6834,1892
2019-08-05,34,FORD,E200,2012,5803,5674,1062
2019-07-14,18,TOFAS,KARTAL,2009,94710,103,1060
2019-02-21,71,VOLVO,E200,2001,144762,4116,615
2018-06-05,79,FİAT,500L,2010,106586,476,1318
2018-02-15,46,MERCEDES,S350,2006,27894,9076,865
2019-01-16,6,VOLVO,S600,2000,177674,6472,472
2018-02-02,60,FİAT,500,2003,168955,2721,1125
2018-05-13,57,WOLKSWAGEN,E200,2017,102389,4976,1785
2019-12-07,22,MERCEDES,S600,2010,156010,173,686
2018-05-08,69,FİAT,500,2010,26303,8251,1230
2019-10-30,7,TESLA,A180,2013,86890,5486,1010
2018-04-05,45,VOLVO,A180,2008,62098,6559,1305
2018-06-09,63,VOLVO,S350,2011,77197,8881,1978
2019-11-15,55,VOLVO,S350,2001,107557,4943,577
2018-01-20,46,VOLVO,S600,2013,180582,3807,728
2018-08-30,54,TOFAS,KARTAL,2009,85340,8679,769
2018-10-14,9,TESLA,S600,2013,89922,9236,687
2018-09-06,7,FORD,A180,2007,144994,7723,520
